customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,Churn
CUST00001,Male,0,No,Yes,61,Yes,No,Month-to-month,83.64,Yes
CUST00002,Female,0,No,No,68,Yes,Fiber optic,Month-to-month,79.81,No
CUST00003,Male,0,No,No,62,No,DSL,Two year,39.48,No
CUST00004,Male,1,Yes,No,1,Yes,Fiber optic,Month-to-month,101.46,Yes
CUST00005,Male,0,Yes,Yes,53,Yes,DSL,Two year,107.19,No
CUST00006,Female,0,Yes,No,15,Yes,DSL,Month-to-month,39.47,Yes
CUST00007,Male,1,Yes,No,54,Yes,Fiber optic,One year,25.75,No
CUST00008,Male,0,No,Yes,42,Yes,DSL,Month-to-month,79.56,Yes
CUST00009,Male,1,No,Yes,60,Yes,Fiber optic,Two year,66.95,No
CUST00010,Female,1,No,Yes,37,Yes,Fiber optic,Month-to-month,61.61,Yes
CUST00011,Male,0,No,Yes,44,Yes,Fiber optic,Month-to-month,95.62,Yes
CUST00012,Male,1,Yes,No,50,Yes,No,Month-to-month,116.91,Yes
CUST00013,Male,0,No,Yes,41,Yes,No,Two year,66.72,No
CUST00014,Male,0,Yes,No,23,Yes,DSL,One year,18.63,No
CUST00015,Female,0,No,Yes,29,Yes,No,Two year,78.82,No
CUST00016,Male,1,No,Yes,36,Yes,Fiber optic,Month-to-month,84.7,Yes
CUST00017,Female,0,No,No,52,Yes,Fiber optic,Month-to-month,102.46,Yes
CUST00018,Female,0,Yes,No,62,No,DSL,Month-to-month,38.34,No
CUST00019,Female,0,Yes,No,10,Yes,DSL,Month-to-month,71.48,No
CUST00020,Male,0,No,Yes,22,Yes,No,Two year,63.61,No
CUST00021,Female,0,No,Yes,49,Yes,DSL,Month-to-month,85.77,Yes
CUST00022,Male,0,No,No,54,Yes,DSL,Month-to-month,24.52,Yes
CUST00023,Female,0,Yes,No,54,Yes,DSL,Month-to-month,108.17,No
CUST00024,Female,0,Yes,Yes,3,Yes,No,One year,70.14,No
CUST00025,Female,0,Yes,No,53,Yes,Fiber optic,Month-to-month,107.46,Yes
CUST00026,Female,0,No,No,60,Yes,No,Two year,52.7,No
CUST00027,Female,0,Yes,Yes,4,Yes,DSL,Month-to-month,84.66,Yes
CUST00028,Female,1,No,No,17,Yes,DSL,One year,115.59,No
CUST00029,Female,0,Yes,Yes,43,Yes,Fiber optic,Month-to-month,114.22,Yes
CUST00030,Female,1,No,Yes,30,Yes,Fiber optic,Month-to-month,114.3,Yes
CUST00031,Male,0,No,Yes,20,Yes,DSL,One year,22.38,No
CUST00032,Male,0,Yes,No,46,No,DSL,Month-to-month,59.11,No
CUST00033,Female,0,No,No,29,Yes,DSL,One year,24.2,No
CUST00034,Female,0,No,No,54,No,DSL,One year,49.57,No
CUST00035,Female,0,No,No,67,Yes,Fiber optic,Month-to-month,35.81,Yes
CUST00036,Male,0,Yes,Yes,68,Yes,DSL,Two year,81.25,No
CUST00037,Female,0,No,Yes,40,Yes,DSL,One year,97.64,No
CUST00038,Male,0,Yes,No,44,Yes,DSL,One year,70.36,No
CUST00039,Male,0,Yes,No,29,Yes,DSL,Month-to-month,99.14,Yes
CUST00040,Male,0,No,No,44,No,No,Month-to-month,19.31,No
CUST00041,Male,0,Yes,No,44,Yes,DSL,Month-to-month,101.69,No
CUST00042,Male,0,No,Yes,44,Yes,DSL,Two year,36.19,No
CUST00043,Female,1,Yes,No,54,Yes,Fiber optic,Two year,65.02,No
CUST00044,Female,0,No,Yes,58,Yes,Fiber optic,Month-to-month,63.14,Yes
CUST00045,Female,0,Yes,No,4,Yes,Fiber optic,Month-to-month,107.06,Yes
CUST00046,Female,0,No,No,31,Yes,DSL,One year,116.53,Yes
CUST00047,Female,0,No,No,5,Yes,Fiber optic,One year,44.02,No
CUST00048,Male,0,No,Yes,25,Yes,Fiber optic,Two year,24.88,No
CUST00049,Female,0,No,No,36,Yes,DSL,Month-to-month,84.35,Yes
CUST00050,Female,0,Yes,Yes,12,Yes,DSL,Month-to-month,69.29,Yes
CUST00051,Male,0,Yes,Yes,68,Yes,Fiber optic,Month-to-month,75.7,Yes
CUST00052,Female,0,No,No,24,Yes,Fiber optic,Month-to-month,22.72,No
CUST00053,Male,0,Yes,Yes,12,Yes,No,Two year,97.08,No
CUST00054,Female,1,No,Yes,19,Yes,Fiber optic,Month-to-month,41.7,Yes
CUST00055,Male,0,No,Yes,71,Yes,Fiber optic,Two year,52.16,No
CUST00056,Female,1,Yes,No,59,Yes,DSL,Month-to-month,41.29,Yes
CUST00057,Female,0,Yes,Yes,20,Yes,Fiber optic,One year,114.49,Yes
CUST00058,Male,0,No,Yes,60,Yes,Fiber optic,Month-to-month,35.21,Yes
CUST00059,Male,0,Yes,No,25,Yes,Fiber optic,Month-to-month,92.7,Yes
CUST00060,Male,0,No,No,53,Yes,DSL,Month-to-month,43.07,No
CUST00061,Male,0,Yes,Yes,41,No,DSL,Month-to-month,61.34,No
CUST00062,Male,0,Yes,Yes,10,Yes,Fiber optic,Two year,119.6,No
CUST00063,Male,0,Yes,Yes,36,Yes,DSL,Month-to-month,28.26,No
CUST00064,Male,0,Yes,Yes,10,Yes,DSL,Two year,107.9,No
CUST00065,Male,0,Yes,No,26,Yes,DSL,Two year,114.5,No
CUST00066,Female,0,No,No,33,Yes,DSL,One year,89.22,Yes
CUST00067,Female,0,Yes,Yes,37,Yes,Fiber optic,One year,19.02,No
CUST00068,Male,0,Yes,No,60,Yes,Fiber optic,Month-to-month,101.72,Yes
CUST00069,Female,0,No,Yes,52,Yes,DSL,Month-to-month,107.99,Yes
CUST00070,Female,1,No,No,64,Yes,Fiber optic,One year,118.06,Yes
CUST00071,Female,0,No,No,2,Yes,Fiber optic,One year,103.61,No
CUST00072,Female,1,Yes,Yes,66,Yes,No,Month-to-month,63.45,No
CUST00073,Male,0,Yes,Yes,27,Yes,Fiber optic,Two year,88.24,No
CUST00074,Female,0,No,Yes,13,Yes,Fiber optic,Month-to-month,67.48,No
CUST00075,Male,0,No,Yes,51,Yes,DSL,Two year,54.01,No
CUST00076,Female,0,No,No,29,Yes,Fiber optic,Month-to-month,81.9,Yes
CUST00077,Female,1,No,No,57,Yes,Fiber optic,One year,96.52,No
CUST00078,Female,0,Yes,Yes,53,Yes,Fiber optic,One year,82.86,No
CUST00079,Male,0,Yes,No,68,Yes,DSL,One year,102.31,No
